,Addendum A.- OPPS APCs for CY 2025,,,,,,,,,,
,Inflation-adjusted 3-digit coinsurance percentage may not precisely reflect the copayment amount due to rounding calculations.,,,,,,,,,,
APC,Group Title,SI,Relative Weight,Payment Rate,National Unadjusted Copayment,Minimum Unadjusted Copayment,IRA Coinsurance percentage,Adjusted Beneficiary Copayment,Drug and Device Pass-Through Expiration during Calendar Year,Note,
0931,Factor IX non-recombinant,K,,$1.341,.,$0.27,,$0.27,,,
0932,Factor ix recombinant nos,K,,$1.840,.,$0.37,,$0.37,,,
0943,Octagam injection,K,,$49.301,.,$9.87,,$9.87,,,
0944,Gammagard liquid injection,K,,$46.459,.,$9.30,,$9.30,,,
0946,Hepagam b im injection,K,,$65.935,.,$13.19,,$13.19,,,
0947,Flebogamma injection,K,,$44.540,.,$8.91,,$8.91,,,
0948,Gamunex-C/Gammaked,K,,$49.009,.,$9.81,,$9.81,,,
0963,"Albumin (human), 5%, 250 ml",K,,$53.077,.,$10.62,,$10.62,,,
0964,"Albumin (human), 25%, 20 ml",K,,$21.231,.,$4.25,,$4.25,,,
1015,Injection glatiramer acetate,K,,$171.571,.,$34.32,,$34.32,,,
1064,"I131 iodide cap, rx",K,,$23.130,.,$4.63,,$4.63,,,
1138,"Hepagam b intravenous, inj",K,,$65.935,.,$13.19,,$13.19,,,
1139,Protein c concentrate,K,,$15.031,.,$3.01,,$3.01,,,
1142,Supprelin LA implant,K,,"$45,261.796",.,"$9,052.36",,"$1,676.00",,"Copayments capped at inpatient deductible of $1,676.00.",
1150,"I131 iodide sol, rx",K,,$20.880,.,$4.18,,$4.18,,,
1168,"Inj, temsirolimus",K,,$29.518,.,$5.91,,$5.91,,,
1178,Busulfan injection,K,,$1.416,.,$0.29,,$0.29,,,
1203,Verteporfin injection,K,,$11.503,.,$2.31,,$2.31,,,
1207,"Octreotide injection, depot",K,,$218.371,.,$43.68,,$43.68,,,
1213,Antihemophilic viii/vwf comp,K,,$1.199,.,$0.24,,$0.24,,,
1214,Inj IVIG privigen 500 mg,K,,$49.284,.,$9.86,,$9.86,,,
1232,Mitomycin injection,K,,$46.348,.,$9.27,,$9.27,,,
1235,Valrubicin injection,K,,"$1,392.518",.,$278.51,,$278.51,,,
1237,Inj iron dextran,K,,$17.404,.,$3.49,,$3.49,,,
1263,Antithrombin iii injection,K,,$3.961,.,$0.80,,$0.80,,,
1268,Xyntha inj,K,,$1.499,.,$0.30,,$0.30,,,
1274,Edetate calcium disodium inj,K,,"$6,084.101",.,"$1,216.83",,"$1,216.83",,,
1281,Bevacizumab injection,K,,$1.830,.,$0.37,,$0.37,,,
1289,AbobotulinumtoxinA,K,,$8.526,.,$1.71,,$1.71,,,
1295,Sm 153 lexidronam,K,,"$4,314.910",,$862.99,,$862.99,,,
1296,Degarelix injection,K,,$4.281,.,$0.86,,$0.86,,,
1297,"Ferumoxytol, non-esrd",K,,$0.377,.,$0.08,,$0.08,,,
1311,Canakinumab injection,K,,$135.878,.,$27.18,,$27.18,,,
1312,Hizentra injection,K,,$13.637,.,$2.73,19.810%,$2.71,,Inflation-adjusted coinsurance,
1327,Imiglucerase injection,K,,$43.381,.,$8.68,,$8.68,,,
1331,Olanzapine long-acting inj,K,,$2.917,.,$0.59,,$0.59,,,
1340,"Collagenase, clost hist inj",K,,$70.887,.,$14.18,18.456%,$13.09,,Inflation-Adjusted Coinsurance,
1352,Wilate injection,K,,$1.283,.,$0.26,,$0.26,,,
1353,Belimumab injection,K,,$54.908,.,$10.99,,$10.99,,,
1413,Lumizyme injection,K,,$201.640,.,$40.33,,$40.33,,,
1415,Glassia injection,K,,$5.512,.,$1.11,,$1.11,,,
1416,Factor xiii anti-hem factor,K,,$10.473,.,$2.10,,$2.10,,,
1417,Gel-one,K,,$526.376,.,$105.28,,$105.28,,,
1420,Aflibercept injection,K,,$801.065,.,$160.22,,$160.22,,,
1421,Imported lipodox inj,K,,$528.860,.,$105.78,,$105.78,,,
1426,Eribulin mesylate injection,K,,$133.317,.,$26.67,,$26.67,,,
1431,Centruroides immune f(ab),K,,"$4,799.104",.,$959.83,,$959.83,,,
1433,Calcitonin salmon injection,K,,"$1,142.411",.,$228.49,,$228.49,,,
1440,Inj desmopressin acetate,K,,$4.950,.,$1.00,,$1.00,,,
1442,Non-HEU TC-99M add-on/dose,K,,$10.000,.,$2.00,,$2.00,,,
1443,Icatibant injection,K,,$135.056,.,$27.02,,$27.02,,,
1446,Visualization adjunct,K,,$8.901,.,$1.79,,$1.79,,,
1458,Phentolaine mesylate inj,K,,$394.625,.,$78.93,,$78.93,,,
1468,"Inj, abilify maintena, 1 mg",K,,$7.070,.,$1.42,,$1.42,,,
1469,Inj filgrastim excl biosimil,K,,$0.984,.,$0.20,,$0.20,,,
1471,"Injection, Pertuzumab, 1 mg",K,,$16.190,.,$3.24,,$3.24,,,
1472,Inj beta interferon im 1 mcg,K,,$55.620,.,$11.13,,$11.13,,,
1474,Certolizumab pegol inj 1mg,K,,$3.898,.,$0.78,,$0.78,,,
1475,Golimumab for iv use 1mg,K,,$10.536,.,$2.11,,$2.11,,,
1476,Obinutuzumab inj,K,,$74.827,.,$14.97,,$14.97,,,
1478,Inj human fibrinogen con nos,K,,$1.483,.,$0.30,,$0.30,,,
